dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,dirección,LATITUD,LONGITUD
01,1.0,7.0,08,ANTIOQUIA,MEDELLIN,SEC ESC TOMAS CARRASQUILLA No 1,564,583,1147,1,04COMUNA 4 ARANJUEZ,CRA 52 No 92 - 05,6.283695204857183,-75.56318986952265
01,1.0,8.0,01,ANTIOQUIA,MEDELLIN,I.E. ALFONSO MORA NARANJO,5783,4940,10723,3,04COMUNA 4 ARANJUEZ,KR 48A # 77-68,6.2712185416086275,-75.55721766978976
01,1.0,8.0,02,ANTIOQUIA,MEDELLIN,I.E. JOSE MARIA BRAVO MARQUEZ,3964,3422,7386,2,04COMUNA 4 ARANJUEZ,CL 70 # 47A-04,6.265626251212306,-75.55734407676118
01,1.0,8.0,03,ANTIOQUIA,MEDELLIN,I.E. FRANCISCO MIRANDA,8658,6982,15640,5,04COMUNA 4 ARANJUEZ,KR 51C # 79-56,6.2740802513828156,-75.5636009050477
01,1.0,8.0,04,ANTIOQUIA,MEDELLIN,I.E. JAVIERA LONDOÑO SEVILLA,6067,5977,12044,4,04COMUNA 4 ARANJUEZ,CL 71 # 51D-26,6.267947877498514,-75.56496389767186
01,1.0,8.0,05,ANTIOQUIA,MEDELLIN,I.E. EL BOSQUE,2690,2419,5109,2,04COMUNA 4 ARANJUEZ,Cra 58 # 85B 81,6.280000695710501,-75.56709256373686
01,1.0,8.0,06,ANTIOQUIA,MEDELLIN,SEC ESC JULIO ARBOLEDA,889,729,1618,1,04COMUNA 4 ARANJUEZ,CR 51 78 12,6.272841141341221,-75.5625270968661
01,1.0,8.0,07,ANTIOQUIA,MEDELLIN,SEC. ESC. PORFIRIO BARBA JACOB,119,100,219,1,04COMUNA 4 ARANJUEZ,CR 47 74 32,6.268782507913703,-75.55656401835367
01,1.0,8.0,08,ANTIOQUIA,MEDELLIN,IE FE Y ALEGRIA LUIS AMIGO MORAVIA,738,635,1373,1,04COMUNA 4 ARANJUEZ,CARRERA 58 No 84 40,6.279120866575186,-75.56641747505357
01,1.0,9.0,01,ANTIOQUIA,MEDELLIN,I.E. JULIO CESAR GARCIA,5577,4634,10211,3,05COMUNA 5 CASTILLA,CL 111A # 65-26,6.306700600776164,-75.564148018041854185
01,1.0,9.0,02,ANTIOQUIA,MEDELLIN,IE DIEGO ECHAVARRIA MISAS,6007,4893,10900,3,05COMUNA 5 CASTILLA,CALLE 111 No 70 68,6.308277247134869,-75.56913901531033
01,1.0,9.0,03,ANTIOQUIA,MEDELLIN,I.E. PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,7356,7264,14620,4,05COMUNA 5 CASTILLA,CL 105A # 63A-200,6.30165634274362,-75.55932885018838
